iter	Logloss
0	0.6890748505
1	0.6854403438
2	0.6819612824
3	0.6788227587
4	0.6760419102
5	0.6733163132
6	0.6708853365
7	0.6688009735
8	0.6668256919
9	0.665078046
10	0.6634761998
11	0.6620665217
12	0.6608294047
13	0.6595042941
14	0.6582283917
15	0.6571583466
16	0.6560519522
17	0.6552448277
18	0.6544084233
19	0.653723141
20	0.652931217
21	0.6522537813
22	0.6515814715
23	0.6509577623
24	0.6504540493
25	0.6499817781
26	0.6494799012
27	0.6490349799
28	0.6486308647
29	0.6481978559
30	0.6477939635
31	0.6474658639
32	0.6471046622
33	0.6467412778
34	0.6464862535
35	0.6462141151
36	0.6459149955
37	0.6456488212
38	0.6453688985
39	0.6451736163
40	0.6449366037
41	0.644720035
42	0.6445114577
43	0.6442774827
44	0.6441237564
45	0.64391915
46	0.6437259761
47	0.6435362947
48	0.6433652532
49	0.6432165298
50	0.6430206971
51	0.6428874361
52	0.6427112266
53	0.6425566182
54	0.6424420202
55	0.6423318764
56	0.6422140333
57	0.6420536932
58	0.6419162387
59	0.6417528294
60	0.641611718
61	0.641464453
62	0.6413241462
63	0.6412092783
64	0.6410579496
65	0.6409147227
66	0.6408030137
67	0.6406544434
68	0.6405008041
69	0.6403932148
70	0.6402600121
71	0.6401594311
72	0.6400267712
73	0.6399089475
74	0.6398005001
75	0.639690201
76	0.6395957306
77	0.6394907027
78	0.6393752373
79	0.6392713931
80	0.6391591395
81	0.6390754071
82	0.6390135288
83	0.6388840166
84	0.6388110768
85	0.6387297732
86	0.6386567065
87	0.6385735011
88	0.6384673023
89	0.6383704632
90	0.6383058884
91	0.6381755219
92	0.6380710773
93	0.6379707079
94	0.6378950535
95	0.637831759
96	0.6377691135
97	0.6376695839
98	0.637595871
99	0.6375084922
100	0.6374399909
101	0.6374087721
102	0.6373430938
103	0.6372538488
104	0.6371565727
105	0.6370259947
106	0.6369624288
107	0.6368886491
108	0.6368054791
109	0.6367370332
110	0.6366613303
111	0.6365809048
112	0.636482966
113	0.6363945404
114	0.6363047433
115	0.6362439916
116	0.6362093599
117	0.6361336685
118	0.6360263927
119	0.6359641642
120	0.6358781542
121	0.6357886177
122	0.6357104722
123	0.6356410019
124	0.6355823627
125	0.6355137651
126	0.635443755
127	0.6353784472
128	0.635321686
129	0.6352732518
130	0.6352076867
131	0.635158859
132	0.6351125542
133	0.6350422674
134	0.634973752
135	0.6349029604
136	0.6348296146
137	0.6347988886
138	0.634726849
139	0.6346666349
140	0.6345787879
141	0.6345016889
142	0.6344213822
143	0.6343257229
144	0.6342536665
145	0.6341590725
146	0.6341066663
147	0.6340198689
148	0.6338982905
149	0.6338099071
150	0.6337366119
151	0.6336625586
152	0.6335820235
153	0.6334943114
154	0.6334400638
155	0.6333218097
156	0.6332303353
157	0.6331456542
158	0.6330723887
159	0.6330033619
160	0.6329224889
161	0.6328472287
162	0.6327823706
163	0.6327270602
164	0.6326810061
165	0.632618757
166	0.6325278516
167	0.6324581591
168	0.6323845267
169	0.6323356581
170	0.6323031312
171	0.6322077655
172	0.6321305333
173	0.6320828607
174	0.6320267892
175	0.6319417302
176	0.6318659377
177	0.6317380256
178	0.6316710925
179	0.6316112569
180	0.6315287827
181	0.6314713428
182	0.6313973003
183	0.6313059278
184	0.6312167844
185	0.6311623666
186	0.6310611433
187	0.6309523706
188	0.6308519966
189	0.6307781618
190	0.6307266903
191	0.6306626875
192	0.630574295
193	0.6305245122
194	0.6304902591
195	0.6304320459
196	0.6303583017
197	0.6302993414
198	0.630226696
199	0.6301005165
200	0.629984005
201	0.6299198059
202	0.6298723785
203	0.6298031095
204	0.6297056794
205	0.6296556491
206	0.6295811851
207	0.6294722027
208	0.6293947401
209	0.6293316316
210	0.6292155669
211	0.6291242831
212	0.6290420116
213	0.6289736673
214	0.6289003866
215	0.6288492677
216	0.6287783839
217	0.6286874909
218	0.6285894787
219	0.628464418
220	0.6284014017
221	0.6283230636
222	0.6282104263
223	0.628141954
224	0.6280798387
225	0.6279897643
226	0.6278660437
227	0.6278088677
228	0.6277064449
229	0.6276274247
230	0.6275520933
231	0.6274449438
232	0.6273510311
233	0.6272657167
234	0.6271670429
235	0.6270933316
236	0.6270007996
237	0.6269434087
238	0.6268227503
239	0.6267343692
240	0.6266948562
241	0.6265966401
242	0.6265195699
243	0.6264019141
244	0.6263047586
245	0.6261746804
246	0.6260795329
247	0.6259951756
248	0.6259242665
249	0.625802258
250	0.6257085663
251	0.6256168734
252	0.6255222643
253	0.625408764
254	0.6252720085
255	0.6251627886
256	0.6250754924
257	0.624982635
258	0.624866452
259	0.6247926754
260	0.6247273034
261	0.6246506326
262	0.6245333172
263	0.6244165526
264	0.6243473007
265	0.6242527202
266	0.6241650914
267	0.6240791709
268	0.6239653374
269	0.6238774475
270	0.6237768342
271	0.6237410815
272	0.6236619369
273	0.6235835958
274	0.6234725573
275	0.6233676368
276	0.623285373
277	0.62319173
278	0.6230902203
279	0.6229577861
280	0.6228722009
281	0.6227701173
282	0.6226524595
283	0.622570227
284	0.6224564213
285	0.6223546942
286	0.6222666519
287	0.6221469413
288	0.6220508442
289	0.6219285182
290	0.6218079552
291	0.6216732558
292	0.6215931397
293	0.6215329924
294	0.6214548435
295	0.6213750965
296	0.6213359048
297	0.6212222985
298	0.6211049828
299	0.6210246724
